couple_id,f_age,f_imprace,f_attr,f_sinc,f_intel,f_fun,f_amb,f_like,m_age,m_imprace,m_attr,m_sinc,m_intel,m_fun,m_amb,m_like,int_corr,samerace,match
f142-m171,24.0,1.0,4.0,10.0,9.0,5.0,6.0,7.0,29.0,1.0,7.0,8.0,9.0,9.0,8.0,7.0,-0.36,1,1
f142-m172,24.0,1.0,8.0,7.0,8.0,8.0,8.0,8.0,27.0,5.0,8.0,7.0,6.0,7.0,7.0,6.0,0.04,1,1
f142-m173,24.0,1.0,6.0,4.0,8.0,9.0,9.0,8.0,22.0,5.0,8.0,7.0,7.0,7.0,5.0,7.0,-0.21,1,1
f143-m158,33.0,6.0,5.0,6.0,8.0,6.0,7.0,5.0,23.0,3.0,6.0,8.0,9.0,6.0,8.0,7.0,0.34,1,0
f143-m160,33.0,6.0,5.0,5.0,7.0,8.0,7.0,5.0,29.0,3.0,4.0,9.0,7.0,5.0,8.0,4.0,0.01,0,0
f143-m161,33.0,6.0,5.0,6.0,8.0,9.0,8.0,8.0,22.0,6.0,5.0,10.0,8.0,5.0,10.0,4.0,-0.15,1,0
f143-m162,33.0,6.0,6.0,7.0,9.0,8.0,9.0,7.0,27.0,1.0,3.0,6.0,6.0,2.0,7.0,3.0,0.58,0,0
f143-m163,33.0,6.0,9.0,8.0,9.0,8.0,9.0,8.0,26.0,1.0,5.0,8.0,7.0,6.0,6.0,5.0,0.61,1,0
f143-m165,33.0,6.0,10.0,9.0,9.0,10.0,6.0,9.0,30.0,4.0,6.0,9.0,9.0,6.0,8.0,6.0,0.54,1,0
f143-m167,33.0,6.0,5.0,6.0,7.0,6.0,4.0,5.0,23.0,1.0,3.0,7.0,6.0,4.0,5.0,3.0,0.13,1,0
f143-m168,33.0,6.0,7.0,8.0,9.0,9.0,9.0,7.0,23.0,1.0,5.0,5.0,5.0,6.0,6.0,6.0,0.33,0,0
f143-m169,33.0,6.0,8.0,9.0,9.0,8.0,8.0,8.0,28.0,2.0,7.0,9.0,9.0,8.0,8.0,7.0,0.27,1,0
f143-m170,33.0,6.0,5.0,5.0,9.0,6.0,7.0,4.0,28.0,2.0,5.0,7.0,7.0,5.0,7.0,4.0,0.55,0,0
f143-m171,33.0,6.0,8.0,9.0,9.0,7.0,8.0,9.0,29.0,1.0,5.0,8.0,9.0,6.0,7.0,6.0,0.34,1,0
f143-m173,33.0,6.0,7.0,5.0,8.0,9.0,8.0,7.0,22.0,5.0,4.0,6.0,5.0,4.0,5.0,3.0,-0.03,1,0
f144-m158,23.0,5.0,4.0,6.0,7.0,4.0,7.0,4.0,23.0,3.0,9.0,9.0,9.0,7.0,7.0,9.0,-0.4,1,0
f144-m159,23.0,5.0,4.0,7.0,8.0,5.0,7.0,4.0,28.0,7.0,8.0,8.0,8.0,8.0,7.0,9.0,0.32,1,0
f144-m160,23.0,5.0,7.0,8.0,8.0,8.0,8.0,7.0,29.0,3.0,6.0,8.0,9.0,9.0,9.0,7.0,0.64,0,0
f144-m161,23.0,5.0,8.0,8.0,8.0,10.0,7.0,9.0,22.0,6.0,6.0,8.0,10.0,9.0,3.0,5.0,0.44,1,0
f144-m162,23.0,5.0,7.0,7.0,8.0,8.0,7.0,9.0,27.0,1.0,8.0,7.0,7.0,7.0,7.0,8.0,0.28,0,1
f144-m163,23.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0,26.0,1.0,8.0,8.0,8.0,6.0,6.0,6.0,0.14,1,0
f144-m164,23.0,5.0,8.0,8.0,7.0,7.0,6.0,8.0,27.0,1.0,7.0,7.0,9.0,7.0,6.0,7.0,0.27,1,0
f144-m165,23.0,5.0,7.0,6.0,6.0,5.0,6.0,6.0,30.0,4.0,7.0,8.0,10.0,8.0,7.0,7.0,0.01,1,0
f144-m167,23.0,5.0,6.0,7.0,8.0,7.0,7.0,6.0,23.0,1.0,4.0,6.0,5.0,4.0,5.0,3.0,0.38,1,0
f144-m168,23.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,23.0,1.0,8.0,8.0,8.0,8.0,8.0,7.0,0.03,0,0
f144-m169,23.0,5.0,7.0,7.0,8.0,8.0,6.0,7.0,28.0,2.0,8.0,7.0,8.0,9.0,7.0,8.0,0.55,1,0
f144-m171,23.0,5.0,5.0,7.0,8.0,7.0,7.0,6.0,29.0,1.0,8.0,9.0,9.0,9.0,8.0,8.0,0.45,1,0
f144-m172,23.0,5.0,5.0,8.0,7.0,7.0,8.0,7.0,27.0,5.0,4.0,7.0,8.0,5.0,6.0,4.0,0.52,1,0
f144-m173,23.0,5.0,6.0,7.0,8.0,6.0,7.0,6.0,22.0,5.0,5.0,7.0,6.0,6.0,6.0,4.0,0.72,1,0
f145-m158,24.0,9.0,7.0,10.0,10.0,7.0,9.0,8.0,23.0,3.0,9.0,8.0,9.0,7.0,7.0,9.0,0.42,1,0
f145-m159,24.0,9.0,7.0,10.0,10.0,10.0,10.0,8.0,28.0,7.0,8.0,8.0,8.0,7.0,7.0,8.0,0.68,1,0
f145-m160,24.0,9.0,8.0,10.0,7.0,10.0,7.0,7.0,29.0,3.0,4.0,8.0,9.0,4.0,10.0,5.0,-0.18,0,0
f145-m161,24.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,22.0,6.0,6.0,8.0,10.0,7.0,5.0,4.0,-0.29,1,0
f145-m162,24.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,27.0,1.0,5.0,6.0,7.0,7.0,6.0,6.0,0.34,0,0
f145-m163,24.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,26.0,1.0,6.0,7.0,6.0,8.0,5.0,5.0,0.39,1,0
f145-m165,24.0,9.0,8.0,8.0,7.0,7.0,5.0,2.0,30.0,4.0,6.0,8.0,9.0,6.0,8.0,6.0,0.72,1,0
f145-m167,24.0,9.0,10.0,9.0,9.0,8.0,7.0,8.0,23.0,1.0,2.0,6.0,6.0,4.0,5.0,3.0,-0.2,1,0
f145-m168,24.0,9.0,6.0,9.0,8.0,8.0,7.0,8.0,23.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,0.11,0,0
f145-m169,24.0,9.0,9.0,7.0,9.0,7.0,7.0,7.0,28.0,2.0,7.0,9.0,9.0,8.0,9.0,8.0,-0.11,1,0
f145-m170,24.0,9.0,8.0,10.0,9.0,7.0,7.0,9.0,28.0,2.0,6.0,7.0,6.0,6.0,6.0,6.0,0.7,0,0
f145-m171,24.0,9.0,9.0,9.0,9.0,7.0,8.0,8.0,29.0,1.0,6.0,8.0,9.0,5.0,8.0,6.0,0.38,1,0
f145-m172,24.0,9.0,9.0,9.0,9.0,7.0,8.0,9.0,27.0,5.0,2.0,7.0,9.0,2.0,4.0,3.0,-0.25,1,0
f145-m173,24.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,22.0,5.0,4.0,6.0,6.0,5.0,5.0,4.0,-0.5,1,0
f146-m164,36.0,1.0,10.0,9.0,10.0,10.0,8.0,10.0,27.0,1.0,9.0,10.0,10.0,8.0,8.0,10.0,0.32,1,1
f147-m158,26.0,3.0,5.0,5.0,8.0,5.0,5.0,5.0,23.0,3.0,9.0,7.0,7.0,9.0,8.0,8.0,-0.15,0,0
f147-m159,26.0,3.0,5.0,6.0,8.0,5.0,5.0,5.0,28.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,0.55,0,0
f147-m160,26.0,3.0,8.0,6.0,7.0,8.0,9.0,8.0,29.0,3.0,8.0,10.0,9.0,8.0,8.0,6.0,0.25,0,1
f147-m161,26.0,3.0,7.0,6.0,7.0,6.0,6.0,6.0,22.0,6.0,7.0,8.0,9.0,10.0,6.0,4.0,0.17,0,0
f147-m162,26.0,3.0,5.0,6.0,6.0,6.0,5.0,5.0,27.0,1.0,5.0,7.0,7.0,8.0,7.0,5.0,0.11,1,0
f147-m163,26.0,3.0,7.0,8.0,8.0,7.0,7.0,8.0,26.0,1.0,7.0,9.0,7.0,8.0,7.0,6.0,0.51,0,0
f147-m164,26.0,3.0,6.0,8.0,8.0,6.0,6.0,5.0,27.0,1.0,9.0,6.0,6.0,8.0,6.0,6.0,0.5,0,0
f147-m165,26.0,3.0,7.0,7.0,7.0,5.0,6.0,6.0,30.0,4.0,7.0,8.0,8.0,10.0,8.0,8.0,0.66,0,1
f147-m167,26.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,23.0,1.0,3.0,6.0,5.0,8.0,2.0,5.0,0.36,0,0
f147-m168,26.0,3.0,4.0,8.0,8.0,4.0,4.0,4.0,23.0,1.0,4.0,7.0,8.0,7.0,5.0,5.0,0.38,1,0
f147-m169,26.0,3.0,8.0,7.0,8.0,7.0,7.0,7.0,28.0,2.0,10.0,8.0,8.0,9.0,8.0,9.0,0.37,0,1
f147-m170,26.0,3.0,4.0,7.0,8.0,4.0,6.0,5.0,28.0,2.0,7.0,7.0,7.0,6.0,6.0,6.0,0.43,1,0
f147-m171,26.0,3.0,4.0,7.0,9.0,4.0,6.0,5.0,29.0,1.0,5.0,6.0,7.0,9.0,7.0,9.0,0.54,0,0
f147-m173,26.0,3.0,6.0,8.0,8.0,8.0,4.0,6.0,22.0,5.0,5.0,7.0,5.0,6.0,6.0,4.0,0.03,0,0
f148-m158,27.0,7.0,4.0,8.0,8.0,2.0,6.0,1.0,23.0,3.0,9.0,8.0,8.0,7.0,7.0,8.0,0.11,0,0
f148-m159,27.0,7.0,3.0,8.0,8.0,2.0,7.0,2.0,28.0,7.0,7.0,6.0,6.0,5.0,5.0,6.0,0.72,0,0
f148-m160,27.0,7.0,7.0,5.0,7.0,8.0,8.0,5.0,29.0,3.0,7.0,8.0,8.0,8.0,8.0,7.0,-0.16,0,0
f148-m161,27.0,7.0,5.0,8.0,8.0,5.0,5.0,4.0,22.0,6.0,6.0,6.0,8.0,5.0,7.0,5.0,-0.19,0,0
f148-m162,27.0,7.0,6.0,8.0,8.0,4.0,9.0,8.0,27.0,1.0,6.0,6.0,7.0,7.0,6.0,6.0,0.11,1,0
f148-m163,27.0,7.0,7.0,9.0,9.0,8.0,8.0,8.0,26.0,1.0,8.0,8.0,8.0,7.0,6.0,7.0,0.58,0,0
f148-m165,27.0,7.0,6.0,7.0,6.0,1.0,5.0,1.0,30.0,4.0,8.0,8.0,9.0,6.0,9.0,8.0,0.8,0,0
f148-m166,27.0,7.0,7.0,8.0,7.0,5.0,5.0,7.0,26.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,0.09,0,0
f148-m167,27.0,7.0,3.0,8.0,8.0,5.0,8.0,6.0,23.0,1.0,6.0,5.0,6.0,5.0,4.0,5.0,0.14,0,0
f148-m168,27.0,7.0,2.0,8.0,8.0,4.0,2.0,5.0,23.0,1.0,7.0,8.0,8.0,6.0,6.0,7.0,0.31,1,0
f148-m170,27.0,7.0,3.0,8.0,8.0,4.0,8.0,4.0,28.0,2.0,6.0,6.0,7.0,5.0,8.0,6.0,0.74,1,0
f148-m171,27.0,7.0,4.0,8.0,8.0,7.0,8.0,9.0,29.0,1.0,7.0,7.0,7.0,6.0,8.0,8.0,0.42,0,0
f148-m172,27.0,7.0,7.0,8.0,8.0,10.0,10.0,9.0,27.0,5.0,7.0,4.0,6.0,9.0,8.0,6.0,-0.36,0,0
f148-m173,27.0,7.0,7.0,9.0,9.0,5.0,8.0,7.0,22.0,5.0,5.0,8.0,5.0,7.0,6.0,5.0,-0.34,0,0
f149-m158,28.0,3.0,6.0,7.0,7.0,4.0,7.0,5.0,23.0,3.0,9.0,9.0,9.0,8.0,7.0,8.0,0.19,1,0
f149-m159,28.0,3.0,4.0,7.0,8.0,4.0,6.0,4.0,28.0,7.0,8.0,9.0,7.0,7.0,7.0,7.0,0.65,1,0
f149-m160,28.0,3.0,9.0,7.0,8.0,8.0,8.0,8.0,29.0,3.0,6.0,9.0,9.0,6.0,8.0,5.0,-0.03,0,1
f149-m161,28.0,3.0,8.0,6.0,8.0,8.0,6.0,7.0,22.0,6.0,7.0,6.0,7.0,5.0,8.0,7.0,-0.11,1,0
f149-m162,28.0,3.0,4.0,8.0,7.0,4.0,8.0,6.0,27.0,1.0,8.0,6.0,6.0,7.0,7.0,6.0,0.72,0,0
f149-m163,28.0,3.0,5.0,6.0,6.0,4.0,4.0,5.0,26.0,1.0,8.0,8.0,8.0,7.0,7.0,8.0,0.47,1,0
f149-m167,28.0,3.0,4.0,6.0,7.0,7.0,5.0,5.0,23.0,1.0,6.0,6.0,6.0,5.0,4.0,7.0,0.26,1,0
f149-m168,28.0,3.0,4.0,7.0,8.0,4.0,7.0,4.0,23.0,1.0,5.0,6.0,6.0,6.0,6.0,6.0,0.13,0,0
f149-m169,28.0,3.0,8.0,7.0,8.0,7.0,7.0,7.0,28.0,2.0,9.0,8.0,9.0,8.0,8.0,9.0,0.45,1,0
f149-m170,28.0,3.0,4.0,8.0,7.0,4.0,8.0,4.0,28.0,2.0,7.0,7.0,7.0,6.0,6.0,6.0,0.32,0,0
f149-m171,28.0,3.0,6.0,8.0,8.0,6.0,7.0,7.0,29.0,1.0,8.0,7.0,8.0,6.0,9.0,9.0,0.52,1,1
f149-m172,28.0,3.0,7.0,7.0,7.0,6.0,6.0,7.0,27.0,5.0,6.0,4.0,7.0,5.0,6.0,6.0,-0.09,1,1
f149-m173,28.0,3.0,5.0,8.0,8.0,7.0,4.0,6.0,22.0,5.0,8.0,8.0,8.0,8.0,7.0,8.0,0.15,1,1
f150-m158,31.0,3.0,5.0,5.0,8.0,6.0,9.0,5.0,23.0,3.0,10.0,8.0,9.0,7.0,7.0,9.0,0.31,1,0
f150-m159,31.0,3.0,5.0,8.0,10.0,8.0,8.0,7.0,28.0,7.0,8.0,9.0,9.0,8.0,8.0,8.0,0.23,1,0
f150-m160,31.0,3.0,9.0,7.0,7.0,7.0,7.0,7.0,29.0,3.0,7.0,10.0,9.0,8.0,8.0,7.0,0.11,0,0
f150-m161,31.0,3.0,8.0,5.0,8.0,8.0,8.0,7.0,22.0,6.0,8.0,8.0,10.0,8.0,6.0,6.0,0.2,1,0
f150-m162,31.0,3.0,6.0,6.0,7.0,6.0,6.0,7.0,27.0,1.0,6.0,9.0,8.0,5.0,6.0,5.0,0.46,0,0
f150-m163,31.0,3.0,7.0,7.0,8.0,8.0,6.0,7.0,26.0,1.0,9.0,9.0,9.0,8.0,8.0,8.0,0.35,1,0
f150-m165,31.0,3.0,9.0,8.0,8.0,7.0,8.0,7.0,30.0,4.0,8.0,10.0,9.0,8.0,8.0,8.0,0.1,1,1
f150-m166,31.0,3.0,6.0,5.0,6.0,5.0,8.0,5.0,26.0,1.0,5.0,7.0,9.0,8.0,9.0,7.0,0.47,0,0
f150-m167,31.0,3.0,7.0,7.0,8.0,8.0,8.0,7.0,23.0,1.0,7.0,5.0,6.0,7.0,5.0,6.0,0.39,1,1
f150-m168,31.0,3.0,7.0,8.0,8.0,8.0,8.0,8.0,23.0,1.0,8.0,7.0,7.0,7.0,7.0,7.0,0.4,0,0
f150-m169,31.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,28.0,2.0,7.0,8.0,9.0,7.0,9.0,8.0,0.3,1,0
f150-m170,31.0,3.0,5.0,6.0,9.0,6.0,9.0,8.0,28.0,2.0,6.0,7.0,7.0,7.0,6.0,6.0,0.15,0,0
f150-m171,31.0,3.0,6.0,7.0,9.0,6.0,9.0,7.0,29.0,1.0,7.0,9.0,9.0,7.0,8.0,7.0,0.46,1,0
f150-m172,31.0,3.0,6.0,7.0,8.0,7.0,8.0,7.0,27.0,5.0,4.0,6.0,8.0,4.0,6.0,3.0,0.27,1,0
f150-m173,31.0,3.0,6.0,8.0,8.0,8.0,8.0,8.0,22.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0,0.39,1,0
f151-m158,28.0,1.0,4.0,5.0,5.0,1.0,3.0,2.0,23.0,3.0,10.0,8.0,8.0,9.0,7.0,9.0,0.24,1,0
f151-m159,28.0,1.0,3.0,7.0,7.0,4.0,6.0,6.0,28.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,0.6,1,0
f151-m161,28.0,1.0,9.0,7.0,8.0,8.0,7.0,9.0,22.0,6.0,10.0,8.0,8.0,9.0,8.0,8.0,-0.35,1,0
f151-m162,28.0,1.0,9.0,8.0,7.0,7.0,6.0,8.0,27.0,1.0,8.0,7.0,7.0,7.0,6.0,9.0,0.45,0,1
f151-m163,28.0,1.0,7.0,5.0,7.0,8.0,7.0,7.5,26.0,1.0,8.0,9.0,8.0,7.0,6.0,8.0,0.65,1,0
f151-m165,28.0,1.0,8.0,5.0,5.0,4.0,6.0,4.0,30.0,4.0,10.0,9.0,8.0,10.0,7.0,6.0,0.47,1,0
f151-m167,28.0,1.0,6.0,3.0,6.0,5.0,4.0,3.0,23.0,1.0,8.0,8.0,5.0,4.0,3.0,7.0,0.19,1,0
f151-m168,28.0,1.0,6.0,3.0,7.0,4.0,5.0,4.0,23.0,1.0,9.0,8.0,7.0,7.0,8.0,8.0,0.36,0,0
f151-m169,28.0,1.0,7.0,8.0,7.0,7.0,7.0,7.0,28.0,2.0,9.0,9.0,9.0,9.0,8.0,9.0,0.47,1,0
f151-m170,28.0,1.0,3.0,8.0,8.0,3.0,7.0,4.0,28.0,2.0,8.0,7.0,7.0,8.0,7.0,7.0,0.67,0,0
f151-m171,28.0,1.0,5.0,7.0,6.0,5.0,7.0,5.0,29.0,1.0,9.0,9.0,8.0,8.0,7.0,8.0,0.33,1,0
f151-m172,28.0,1.0,7.0,8.0,7.0,6.0,7.0,7.0,27.0,5.0,8.0,7.0,8.0,6.0,8.0,6.0,0.0,1,0
f151-m173,28.0,1.0,8.0,7.0,8.0,9.0,6.0,9.0,22.0,5.0,9.0,8.0,7.0,8.0,7.0,8.0,0.09,1,1
f152-m158,27.0,2.0,6.0,7.0,7.0,6.0,8.0,6.0,23.0,3.0,9.0,9.0,8.0,7.0,7.0,8.0,0.51,0,0
f152-m160,27.0,2.0,6.0,8.0,7.0,7.0,7.0,6.0,29.0,3.0,7.0,9.0,10.0,6.0,9.0,5.0,-0.01,0,0
f152-m161,27.0,2.0,8.0,8.0,8.0,8.0,9.0,8.0,22.0,6.0,7.0,10.0,9.0,6.0,5.0,6.0,-0.32,0,0
f152-m165,27.0,2.0,8.0,8.0,7.0,8.0,8.0,9.0,30.0,4.0,8.0,9.0,10.0,5.0,9.0,7.0,0.62,0,1
f152-m168,27.0,2.0,4.0,7.0,7.0,6.0,7.0,6.0,23.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,0.22,1,0
f152-m169,27.0,2.0,8.0,9.0,9.0,8.0,8.0,8.0,28.0,2.0,10.0,9.0,8.0,7.0,8.0,8.0,0.07,0,0
f152-m170,27.0,2.0,4.0,6.0,7.0,6.0,8.0,6.0,28.0,2.0,5.0,7.0,6.0,5.0,6.0,4.0,0.63,1,0
f152-m172,27.0,2.0,6.0,8.0,7.0,8.0,9.0,7.0,27.0,5.0,7.0,8.0,8.0,4.0,6.0,6.0,0.02,0,0
f152-m173,27.0,2.0,5.0,8.0,8.0,6.0,7.0,7.0,22.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,-0.15,0,0
f153-m160,28.0,1.0,5.0,6.0,6.0,6.0,6.0,5.0,29.0,3.0,7.0,9.0,8.0,6.0,7.0,4.0,0.3,0,0
f153-m162,28.0,1.0,5.0,5.0,7.0,6.0,7.0,5.0,27.0,1.0,5.0,7.0,6.0,3.0,7.0,4.0,0.3,1,0
f153-m163,28.0,1.0,8.0,8.0,8.0,8.0,6.0,8.0,26.0,1.0,8.0,10.0,8.0,8.0,8.0,8.0,0.49,0,1
f153-m171,28.0,1.0,6.0,6.0,7.0,7.0,7.0,5.0,29.0,1.0,6.0,8.0,8.0,6.0,7.0,6.0,0.78,0,1
f154-m158,27.0,8.0,5.0,8.0,10.0,5.0,8.0,5.0,23.0,3.0,9.0,9.0,7.0,8.0,7.0,8.0,-0.26,1,0
f154-m159,27.0,8.0,6.0,8.0,9.0,8.0,9.0,7.0,28.0,7.0,7.0,8.0,7.0,7.0,8.0,7.0,0.46,1,0
f154-m160,27.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,29.0,3.0,8.0,8.0,8.0,7.0,8.0,7.0,0.57,0,0
f154-m161,27.0,8.0,10.0,8.0,9.0,9.0,8.0,8.0,22.0,6.0,9.0,9.0,8.0,9.0,7.0,8.0,0.51,1,1
f154-m162,27.0,8.0,5.0,8.0,8.0,7.0,7.0,5.0,27.0,1.0,7.0,6.0,7.0,6.0,7.0,4.0,-0.01,0,0
f154-m163,27.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,26.0,1.0,8.0,10.0,8.0,8.0,7.0,7.0,0.39,1,1
f154-m165,27.0,8.0,7.0,9.0,7.0,5.0,5.0,5.0,30.0,4.0,10.0,8.0,8.0,8.0,10.0,5.0,0.46,1,0
f154-m167,27.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,23.0,1.0,5.0,7.0,7.0,6.0,6.0,6.0,0.71,1,0
f154-m168,27.0,8.0,5.0,9.0,7.0,5.0,7.0,5.0,23.0,1.0,8.0,8.0,8.0,8.0,8.0,9.0,0.48,0,0
f154-m169,27.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,28.0,2.0,10.0,9.0,9.0,9.0,9.0,10.0,0.6,1,1
f154-m170,27.0,8.0,6.0,10.0,10.0,5.0,9.0,6.0,28.0,2.0,6.0,6.0,7.0,5.0,7.0,6.0,0.25,0,0
f154-m171,27.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,29.0,1.0,9.0,7.0,8.0,8.0,10.0,8.0,0.53,1,1
f154-m172,27.0,8.0,9.0,10.0,10.0,10.0,10.0,8.0,27.0,5.0,7.0,8.0,8.0,5.0,6.0,6.0,0.28,1,1
f154-m173,27.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,22.0,5.0,6.0,7.0,6.0,7.0,6.0,7.0,0.54,1,1
f155-m158,27.0,5.0,2.0,6.0,7.0,2.0,7.0,2.0,23.0,3.0,10.0,9.0,9.0,8.0,7.0,9.0,0.24,1,0
f155-m159,27.0,5.0,1.0,4.0,6.0,3.0,6.0,1.0,28.0,7.0,7.0,9.0,8.0,7.0,5.0,7.0,0.59,1,0
f155-m161,27.0,5.0,8.0,7.0,7.0,8.0,7.0,7.0,22.0,6.0,7.0,8.0,8.0,10.0,7.0,7.0,-0.18,1,1
f155-m162,27.0,5.0,2.0,4.0,6.0,4.0,6.0,3.0,27.0,1.0,6.0,5.0,3.0,4.0,7.0,4.0,0.25,0,0
f155-m163,27.0,5.0,6.0,7.0,6.0,6.0,5.0,6.0,26.0,1.0,8.0,6.0,6.0,6.0,6.0,7.0,0.54,1,0
f155-m165,27.0,5.0,7.0,6.0,5.0,6.0,4.0,5.0,30.0,4.0,9.0,9.0,8.0,6.0,5.0,6.0,0.77,1,0
f155-m167,27.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,23.0,1.0,6.0,6.0,5.0,4.0,4.0,6.0,0.13,1,0
f155-m168,27.0,5.0,3.0,6.0,4.0,6.0,6.0,4.0,23.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,0.25,0,0
f155-m169,27.0,5.0,8.0,8.0,8.0,7.0,8.0,8.0,28.0,2.0,9.0,8.0,8.0,8.0,8.0,8.0,0.23,1,0
f155-m170,27.0,5.0,2.0,8.0,8.0,3.0,8.0,8.0,28.0,2.0,6.0,7.0,7.0,6.0,6.0,6.0,0.85,0,0
f155-m171,27.0,5.0,4.0,7.0,7.0,4.0,8.0,5.0,29.0,1.0,10.0,8.0,8.0,8.0,9.0,8.0,0.52,1,0
f155-m172,27.0,5.0,5.0,8.0,8.0,6.0,7.0,6.0,27.0,5.0,5.0,6.0,6.0,4.0,5.0,5.0,-0.03,1,0
f155-m173,27.0,5.0,3.0,8.0,8.0,4.0,8.0,5.0,22.0,5.0,6.0,7.0,7.0,8.0,7.0,6.0,-0.13,1,0
f156-m158,30.0,1.0,4.0,7.0,10.0,3.0,10.0,3.0,23.0,3.0,9.0,8.0,8.0,8.0,7.0,8.0,0.49,0,0
f156-m159,30.0,1.0,3.0,10.0,10.0,6.0,10.0,3.0,28.0,7.0,6.0,7.0,7.0,5.0,5.0,5.0,0.4,0,0
f156-m160,30.0,1.0,7.0,10.0,10.0,9.0,10.0,8.0,29.0,3.0,8.0,10.0,8.0,9.0,9.0,8.0,-0.03,1,1
f156-m161,30.0,1.0,8.0,9.0,10.0,7.0,9.0,8.0,22.0,6.0,7.0,9.0,10.0,8.0,8.0,5.0,-0.16,0,0
f156-m162,30.0,1.0,7.0,6.0,10.0,3.0,8.0,4.0,27.0,1.0,5.0,7.0,7.0,5.0,9.0,6.0,0.45,0,0
f156-m163,30.0,1.0,6.0,9.0,10.0,7.0,10.0,7.0,26.0,1.0,8.0,9.0,9.0,8.0,8.0,8.0,0.21,0,1
f156-m164,30.0,1.0,7.0,9.0,10.0,6.0,10.0,6.0,27.0,1.0,8.0,8.0,10.0,7.0,9.0,7.0,0.08,0,0
f156-m165,30.0,1.0,8.0,5.0,10.0,7.0,8.0,5.0,30.0,4.0,7.0,8.0,7.0,7.0,8.0,6.0,0.65,0,0
f156-m167,30.0,1.0,6.0,9.0,10.0,6.0,9.0,6.0,23.0,1.0,7.0,6.0,6.0,5.0,6.0,6.0,-0.05,0,0
f156-m168,30.0,1.0,6.0,9.0,10.0,9.0,10.0,7.0,23.0,1.0,7.0,8.0,8.0,7.0,7.0,6.0,-0.01,0,0
f156-m169,30.0,1.0,7.0,9.0,10.0,8.0,9.0,9.0,28.0,2.0,8.0,8.0,10.0,8.0,10.0,8.0,-0.05,0,0
f156-m170,30.0,1.0,4.0,8.0,10.0,3.0,10.0,3.0,28.0,2.0,6.0,8.0,8.0,7.0,8.0,6.0,0.75,0,0
f156-m171,30.0,1.0,5.0,8.0,10.0,2.0,9.0,2.0,29.0,1.0,6.0,8.0,9.0,9.0,10.0,6.0,0.19,0,0
f156-m172,30.0,1.0,5.0,9.0,10.0,8.0,10.0,8.0,27.0,5.0,6.0,8.0,7.0,7.0,8.0,7.0,-0.08,0,1
f156-m173,30.0,1.0,6.0,9.0,10.0,9.0,9.0,8.0,22.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0,-0.15,0,1
f157-m158,28.0,5.0,2.0,3.0,3.0,2.0,3.0,1.0,23.0,3.0,9.0,8.0,8.0,7.0,6.0,7.0,-0.14,0,0
f157-m160,28.0,5.0,7.0,6.0,7.0,10.0,9.0,7.0,29.0,3.0,10.0,8.0,8.0,9.0,9.0,8.0,0.42,0,0
f157-m161,28.0,5.0,7.0,7.0,6.0,7.0,6.0,6.0,22.0,6.0,8.0,8.0,8.0,9.0,7.0,6.0,0.42,0,0
f157-m162,28.0,5.0,3.0,5.0,7.0,2.0,5.0,1.0,27.0,1.0,5.0,5.0,6.0,6.0,7.0,5.0,0.18,1,0
f157-m163,28.0,5.0,5.0,7.0,6.0,5.0,5.0,3.0,26.0,1.0,7.0,6.0,6.0,6.0,7.0,5.0,0.15,0,0
f157-m165,28.0,5.0,6.0,7.0,7.0,4.0,5.0,4.0,30.0,4.0,9.0,7.0,8.0,6.0,8.0,7.0,-0.09,0,0
f157-m167,28.0,5.0,4.0,5.0,5.0,6.0,3.0,3.0,23.0,1.0,6.0,7.0,6.0,6.0,5.0,6.0,0.6,0,0
f157-m168,28.0,5.0,2.0,8.0,8.0,7.0,6.0,2.0,23.0,1.0,6.0,8.0,8.0,8.0,8.0,9.0,0.29,1,0
f157-m169,28.0,5.0,8.0,7.0,7.0,8.0,7.0,7.0,28.0,2.0,10.0,8.0,8.0,9.0,9.0,9.0,0.61,0,1
